cycle,naive_error_ms,absolute_error_ms
1,0.001035,0.023032
2,2.820725,0.459188
3,5.867524,0.001847
4,9.663877,0.300265
5,12.514214,0.795481
6,15.938337,0.496366
7,18.464025,0.010587
8,21.065631,0.038242
9,23.883413,0.646004
10,26.278086,0.002901
11,29.640086,0.373042
12,32.305960,0.917802
13,35.170278,0.095149
14,37.991989,1.256726
15,40.774763,0.580630
16,43.569058,0.001790
17,46.937687,0.291771
18,50.103912,0.002028
19,53.063619,0.155125
20,55.615756,0.428543
21,58.326749,0.003477
22,61.021359,0.604800
23,63.605834,0.848619
24,66.560582,0.167628
25,69.489774,0.918210
26,72.274315,0.724067
27,74.962206,0.072035
28,77.499715,0.041816
29,80.559781,0.387332
30,83.321373,0.780924
31,86.288256,0.012865
32,89.201909,0.402670
33,91.906224,0.003784
34,94.538096,0.273013
35,97.005509,0.434573
36,99.802070,0.896167
37,102.197980,0.272349
38,104.595826,0.002108
39,107.321068,0.509105
40,110.423161,0.001983
41,113.020129,0.296556
42,115.413617,0.763013
43,118.407365,0.002058
44,121.064880,1.217396
45,124.219118,0.211828
46,126.931105,0.778356
47,130.191146,0.219954
48,132.632119,0.418404
49,135.294976,0.872387
50,137.813102,0.798864
51,141.119628,0.068863
52,143.649694,0.002147
53,146.090644,0.002783
54,148.614956,0.497830
55,151.343198,0.913886
56,153.807664,0.715518
57,156.808968,0.027295
58,159.355905,0.390177
59,161.932890,0.057769
60,164.483150,0.451339
61,167.039075,0.935458
62,169.544995,0.164080
63,172.565250,0.257899
64,175.952012,0.671452
65,178.437048,1.534577
66,180.968166,0.125043
67,183.677075,0.465829
68,186.212651,0.801284
69,188.998275,0.335661
70,192.192673,0.134847
71,194.627861,0.257310
72,197.320758,0.932185
73,200.228601,0.442071
74,202.936708,0.002200
75,205.545698,0.722090
76,208.793633,0.003829
77,211.134428,0.233514
78,213.713586,0.707995
79,216.577430,0.500362
80,219.387072,0.002322
